
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,st_lum,st_lumerr1,st_lumerr2,st_lumlim,ra,dec,sy_dist,sy_disterr1,sy_disterr2
11 Com b,11 Com,2,1,1.978,0.180,-0.159,0,185.1787793,17.7932516,93.1846000,1.9238000,-1.9238000
11 UMi b,11 UMi,1,1,2.430,0.008,-0.008,0,229.2745954,71.8239428,125.3210000,1.9765000,-1.9765000
14 And b,14 And,1,1,1.840,0.081,-0.050,0,352.8241500,39.2358367,75.4392000,0.7140000,-0.7140000
14 Her b,14 Her,1,2,-0.153,0.012,-0.010,0,242.6021014,43.8163621,17.9323000,0.0073000,-0.0073000
16 Cyg B b,16 Cyg B,3,1,0.097,0.009,-0.013,0,295.4656422,50.5168243,21.1397000,0.0110000,-0.0111000
17 Sco b,17 Sco,1,1,2.254,0.026,-0.024,0,243.4620874,-11.8377905,124.9530000,2.5900000,-2.5900000
18 Del b,18 Del,2,1,1.634,0.061,-0.043,0,314.6078375,10.8391378,76.2220000,0.6217000,-0.6217000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,-0.370,0.150,-0.150,0,242.3762343,-21.0831403,139.1350000,1.3320000,-1.3070000
24 Boo b,24 Boo,1,1,1.877,0.090,-0.095,0,217.1555242,49.8446488,95.9863000,0.6368500,-0.6368500
24 Sex b,24 Sex,1,2,1.164,0.003,-0.003,0,155.8684866,-0.9023998,72.0691000,0.6854000,-0.6728000
24 Sex c,24 Sex,1,2,1.164,0.003,-0.003,0,155.8684866,-0.9023998,72.0691000,0.6854000,-0.6728000
2M0437 b,2MASS J04372171+2651014,1,1,-1.164,0.003,-0.003,0,69.3405531,26.8502997,128.4840000,1.1960000,-1.1740000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,,,,,15.8992489,-55.2658291,47.2000000,3.1000000,-3.1000000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,-1.720,0.110,-0.110,0,20.7128012,-24.6646128,33.8281000,0.0864000,-0.0860000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,-2.230,0.060,-0.060,0,34.8427046,-39.4230767,40.0896412,0.1940496,-0.1940496
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,-2.590,0.090,-0.090,0,42.4851627,-5.9599921,66.0613000,0.4543000,-0.4482000
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,-2.246,0.109,-0.146,0,59.7911026,20.1599759,117.4350000,2.3200000,-2.2330000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,-2.444,0.131,-0.188,0,70.4371079,23.0308544,120.4239870,5.4783417,-5.4783417
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,,,,,165.3295388,-77.5440912,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,-1.568,0.104,-0.136,0,178.7691634,-79.3197558,100.8620000,0.6030000,-0.5960000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,-2.561,0.110,-0.148,0,181.8890906,-39.5484399,64.3080000,0.6569000,-0.6440000
